,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,avgSchoolDistance,latitude,lotSizeSqFt,numOfPhotos,numPriceChanges,zipcode,yearBuilt,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear,averagePrice
95,29341421,1325000.0,4.0,4142.0,4,9.0,2,15,0,-97.8155364990234,0,2.05,30.3180770874023,23086.8,28,3,78746,1990,1.98,2019-06-21,6,2019,1197513.57142857
96,29375949,550000.0,2.0,2581.0,4,8.66666666666667,1,16,1,-97.7956848144531,0,0.866666666666667,30.4399642944336,12196.8,36,2,78750,1972,1.98,2019-02-07,2,2019,590180.831932773
97,145655859,217500.0,2.0,1405.0,3,3.0,1,13,1,-97.5774383544922,1,2.03333333333333,30.2390537261963,7230.0,26,1,78725,2016,1.98,2019-08-29,8,2019,215552.103448276
98,249912949,336990.0,3.0,2814.0,4,3.0,2,14,1,-97.6379699707031,0,1.3,30.4103469848633,7461.0,3,1,78660,2019,1.98,2019-05-10,5,2019,285695.416666667
99,2089992289,338900.0,3.0,2177.0,4,3.66666666666667,2,12,1,-97.7155838012695,1,3.13333333333333,30.1594696044922,5967.0,40,4,78744,2018,1.98,2019-07-22,7,2019,258333.417647059
100,89551588,161940.0,2.0,1452.0,3,3.0,1,13,1,-97.6381530761719,1,3.33333333333333,30.2148017883301,5227.0,1,3,78725,2013,1.98,2019-06-14,6,2019,215552.103448276
101,80103408,133000.0,2.0,1762.0,4,3.66666666666667,1,11,2,-97.6314163208008,1,3.2,30.2727565765381,9147.0,25,7,78724,2008,1.98,2019-04-03,4,2019,271934.333333333
102,83828934,885000.0,3.0,3436.0,4,5.66666666666667,2,16,1,-97.8670654296875,1,5.33333333333333,30.2968978881836,11325.6,42,1,78735,2007,1.98,2019-07-25,7,2019,951194.566666667
103,241936636,249900.0,2.0,1582.0,3,3.66666666666667,1,12,1,-97.6432876586914,1,1.2,30.4135818481445,6211.0,42,3,78660,2017,1.98,2019-01-04,1,2019,285695.416666667
104,58297915,1999000.0,7.0,5576.0,5,9.0,2,15,0,-97.8060913085938,0,2.05,30.3228435516357,31363.2,78,3,78746,1999,1.98,2019-12-15,12,2019,1197513.57142857
105,29355947,535000.0,2.0,1707.0,3,7.0,1,16,1,-97.7858657836914,1,1.86666666666667,30.3650684356689,16117.2,15,2,78731,1962,1.98,2019-07-01,7,2019,919896.32967033
106,29396905,225000.0,2.0,1320.0,3,3.66666666666667,1,11,2,-97.6469802856445,1,3.2,30.2889041900635,5357.0,21,3,78724,1980,1.98,2019-03-22,3,2019,271934.333333333
107,241936634,274900.0,2.0,1745.0,3,3.66666666666667,1,12,1,-97.642692565918,1,1.23333333333333,30.4142990112305,12196.8,23,1,78660,2016,1.98,2019-03-15,3,2019,285695.416666667
108,80093390,825000.0,6.0,4219.0,4,8.33333333333333,2,17,1,-97.9195404052734,1,3.03333333333333,30.3413028717041,13503.6,34,3,78732,2012,1.98,2019-07-08,7,2019,663662.285714286
109,29343408,799000.0,4.0,3693.0,4,9.0,2,15,0,-97.804573059082,0,2.0,30.3309936523438,11325.6,68,5,78746,1984,1.98,2019-04-24,4,2019,1197513.57142857
110,29396904,159000.0,1.0,939.0,2,3.66666666666667,1,11,2,-97.6471176147461,1,3.23333333333333,30.2888584136963,5575.0,3,4,78724,1980,1.98,2019-03-05,3,2019,271934.333333333
111,29351445,550000.0,3.0,2474.0,3,7.0,2,16,1,-97.7920913696289,1,3.33333333333333,30.3527736663818,3911.0,40,3,78731,1985,1.98,2019-03-25,3,2019,919896.32967033
112,29370446,525000.0,4.0,2567.0,4,9.0,2,16,1,-97.7962341308594,1,1.36666666666667,30.4221382141113,13503.6,1,4,78750,1984,1.98,2019-08-09,8,2019,590180.831932773
113,241936631,254990.0,2.0,1349.0,3,3.66666666666667,1,12,1,-97.6438751220703,1,1.2,30.4138126373291,12196.8,1,1,78660,2016,1.98,2019-08-28,8,2019,285695.416666667
114,70336928,1100000.0,4.0,4615.0,4,5.66666666666667,2,16,1,-97.8753662109375,1,5.6,30.2938766479492,15681.6,1,3,78735,2005,1.98,2019-12-30,12,2019,951194.566666667
115,125158378,689000.0,4.0,3393.0,4,8.33333333333333,2,17,1,-97.9232864379883,1,3.6,30.33176612854,12196.8,40,1,78732,2015,1.98,2019-10-11,10,2019,663662.285714286
116,125792770,389900.0,3.0,2953.0,4,3.66666666666667,2,12,1,-97.6937866210938,1,2.93333333333333,30.1782474517822,6621.0,39,4,78744,2015,1.98,2019-12-23,12,2019,258333.417647059
117,29355939,685000.0,0.0,1600.0,0,7.0,1,16,1,-97.7872848510742,1,1.93333333333333,30.3645038604736,26571.6,29,3,78731,1960,1.98,2019-06-30,6,2019,919896.32967033
118,29368633,280000.0,2.0,2415.0,4,7.0,1,16,1,-97.8604431152344,1,1.93333333333333,30.4226341247559,7405.0,1,4,78726,1995,1.98,2019-08-16,8,2019,499315.533333333
119,29344906,750000.0,4.0,3009.0,4,7.0,1,16,1,-97.8233337402344,1,5.03333333333333,30.3373374938965,43560.0,26,2,78730,1986,1.98,2019-05-30,5,2019,1016151.95
120,29351438,409000.0,2.0,1456.0,2,7.0,1,16,1,-97.7913970947266,1,3.3,30.3530769348144,3920.0,1,1,78731,1995,1.98,2019-08-01,8,2019,919896.32967033
121,29342427,457000.0,3.0,2094.0,3,8.0,2,14,0,-97.8731689453125,0,3.63333333333333,30.32834815979,20908.8,1,7,78733,1985,1.98,2019-05-22,5,2019,1126888.20481928
122,83124877,425000.0,3.0,3323.0,4,8.33333333333333,2,17,1,-97.9109802246094,1,2.7,30.3433628082275,7971.0,27,6,78732,2008,1.98,2019-03-05,3,2019,663662.285714286
123,145656010,255000.0,2.0,1496.0,3,3.0,1,13,1,-97.6338806152344,1,3.13333333333333,30.2207889556885,6272.0,29,1,78725,2017,1.98,2019-06-04,6,2019,215552.103448276
124,29351434,650000.0,3.0,2519.0,3,7.0,2,16,1,-97.7904205322266,1,3.3,30.3532600402832,9365.0,40,2,78731,1991,1.98,2019-05-13,5,2019,919896.32967033
125,29368608,474500.0,5.0,4263.0,4,7.0,2,16,1,-97.8603973388672,1,1.83333333333333,30.4192886352539,12196.8,34,7,78726,1993,1.98,2019-10-15,10,2019,499315.533333333
126,89551502,215000.0,2.0,1420.0,3,3.0,1,13,1,-97.6374588012695,1,3.3,30.2137718200684,8189.0,13,1,78725,2010,1.98,2019-07-19,7,2019,215552.103448276
127,58298431,325000.0,2.0,1359.0,2,7.0,1,17,1,-97.7877578735352,1,2.26666666666667,30.3712348937988,4573.0,27,2,78750,1981,1.98,2019-04-23,4,2019,590180.831932773
128,144176918,485000.0,3.0,1780.0,3,8.0,1,14,0,-97.86572265625,0,4.56666666666667,30.3485946655273,14810.4,22,1,78733,1962,1.98,2019-04-10,4,2019,1126888.20481928
129,241936608,309900.0,3.0,2432.0,4,3.66666666666667,2,12,1,-97.64306640625,1,1.2,30.4133319854736,12196.8,27,2,78660,2016,1.98,2019-07-02,7,2019,285695.416666667
130,29368594,479900.0,4.0,3328.0,5,7.0,2,16,1,-97.8601150512695,1,1.83333333333333,30.4213638305664,12196.8,1,5,78726,1993,1.98,2019-06-21,6,2019,499315.533333333
131,29375933,710000.0,3.0,3451.0,4,8.66666666666667,2,16,1,-97.7968292236328,0,0.9,30.4399375915527,15681.6,1,1,78750,1978,1.98,2019-11-06,11,2019,590180.831932773
132,70336913,899000.0,3.0,3294.0,4,5.66666666666667,1,16,1,-97.8772506713867,1,5.73333333333333,30.2938423156738,14374.8,28,4,78735,2005,1.98,2019-02-13,2,2019,951194.566666667
133,29358974,609995.0,3.0,2728.0,4,7.0,2,17,1,-97.7968673706055,1,2.8,30.3746471405029,10544.0,1,2,78750,1982,1.98,2019-12-23,12,2019,590180.831932773
134,79980405,3750000.0,6.0,9368.0,5,8.0,2,14,0,-97.85595703125,0,3.5,30.3315525054932,43995.6,32,3,78733,2006,1.98,2019-10-31,10,2019,1126888.20481928
135,83124867,574900.0,4.0,3358.0,4,8.33333333333333,2,17,1,-97.9104385375977,1,2.76666666666667,30.3418216705322,7753.0,31,1,78732,2008,1.98,2019-11-18,11,2019,663662.285714286
136,29357366,1775000.0,4.0,3700.0,5,7.0,2,16,1,-97.9152297973633,1,2.66666666666667,30.3707885742188,16117.2,1,5,78734,2013,1.98,2019-08-30,8,2019,1775000.0
137,29368548,549900.0,4.0,3884.0,5,7.0,2,16,1,-97.8558654785156,1,1.66666666666667,30.4215049743652,16988.4,38,4,78726,1999,1.98,2019-06-25,6,2019,499315.533333333
138,88019360,379000.0,3.0,2708.0,4,8.33333333333333,2,16,1,-97.7969207763672,1,1.96666666666667,30.4940662384033,8712.0,1,3,78717,2007,2.21,2019-05-14,5,2019,424404.968944099
139,29363429,650000.0,3.0,2898.0,3,7.0,2,17,1,-97.8046646118164,1,3.63333333333333,30.393087387085,14374.8,1,1,78750,1996,1.98,2019-07-01,7,2019,590180.831932773
